DOI,authors,number,title,combined
DOI81,Oscar Shoun,8.1,title 81,Oscar Shoun. title 81. DOI81
DOI82,Sandra Doty,8.2,title 82,Sandra Doty. title 82. DOI82
DOI83,William Brown,8.3,title 83,William Brown. title 83. DOI83
DOI84,Robin Dziedzic,8.4,title 84,Robin Dziedzic. title 84. DOI84
DOI85,Donald Vickers,8.5,title 85,Donald Vickers. title 85. DOI85
DOI86,Patricia Williams,8.6,title 86,Patricia Williams. title 86. DOI86
DOI87,Ester Lopez,8.7,title 87,Ester Lopez. title 87. DOI87
DOI88,Sylvia Ruud,8.8,title 88,Sylvia Ruud. title 88. DOI88
DOI89,Harry Bardsley,8.9,title 89,Harry Bardsley. title 89. DOI89
DOI90,Ana Estrello,9,title 90,Ana Estrello. title 90. DOI90
DOI91,Andrew Hudgins,9.1,title 91,Andrew Hudgins. title 91. DOI91
DOI92,Michael Collins,9.2,title 92,Michael Collins. title 92. DOI92
DOI93,Mollie Fujisawa,9.3,title 93,Mollie Fujisawa. title 93. DOI93
DOI94,Melissa Golden,9.4,title 94,Melissa Golden. title 94. DOI94
DOI95,Edwin Suggs,9.5,title 95,Edwin Suggs. title 95. DOI95
DOI96,Kimberly Janssen,9.6,title 96,Kimberly Janssen. title 96. DOI96
DOI97,Madie Cotrell,9.7,title 97,Madie Cotrell. title 97. DOI97
DOI98,Martin Arnold,9.8,title 98,Martin Arnold. title 98. DOI98
DOI99,Tina Robinson,9.9,title 99,Tina Robinson. title 99. DOI99
DOI100,Mark Gallon,10,title 100,Mark Gallon. title 100. DOI100
DOI101,Jo Coleman,10.1,title 101,Jo Coleman. title 101. DOI101
DOI102,Edgar Landry,10.2,title 102,Edgar Landry. title 102. DOI102
DOI103,Deanna Lewis,10.3,title 103,Deanna Lewis. title 103. DOI103
DOI104,Gayle Limbrick,10.4,title 104,Gayle Limbrick. title 104. DOI104
DOI105,Paige Scott,10.5,title 105,Paige Scott. title 105. DOI105
DOI106,Barbara Trujillo,10.6,title 106,Barbara Trujillo. title 106. DOI106
DOI107,James Wong,10.7,title 107,James Wong. title 107. DOI107
DOI108,Lael Carvalho,10.8,title 108,Lael Carvalho. title 108. DOI108
DOI109,Amanda Pitts,10.9,title 109,Amanda Pitts. title 109. DOI109
DOI110,Florentina Benson,11,title 110,Florentina Benson. title 110. DOI110
